Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Air India,1/05/2019,Kolkata,Banglore,CCU ? IXR ? BBI ? BLR,05:50,13:15,7h 25m,2 stops,No info,7662
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,11:25,19:15,7h 50m,1 stop,No info,8625
Air India,1/06/2019,Delhi,Cochin,DEL ? BLR ? COK,09:45,23:00,13h 15m,1 stop,No info,8907
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,09:20 10 May,12h 10m,1 stop,In-flight meal not included,9663
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,08:15 07 May,13h 20m,1 stop,In-flight meal not included,7757
IndiGo,1/06/2019,Delhi,Cochin,DEL ? LKO ? COK,21:50,03:35 02 Jun,5h 45m,1 stop,No info,8238
GoAir,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,12:55,5h 55m,1 stop,No info,7682
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? HYD ? COK,07:05,18:10,11h 5m,1 stop,No info,9646
Multiple carriers,6/05/2019,Delhi,Cochin,DEL ? BOM ? COK,19:00,01:30 07 May,6h 30m,1 stop,No info,8073
Air India,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,09:25,21:50,12h 25m,1 stop,No info,8366
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? HYD ? COK,13:15,22:30,9h 15m,1 stop,No info,9646
Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM ? HYD,07:05,08:30,1h 25m,non-stop,No info,8040
Vistara,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,09:05 13 May,12h 45m,1 stop,No info,9397
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,10:05 07 May,14h 5m,1 stop,In-flight meal not included,9663
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? HYD ? COK,13:05,00:55 22 May,11h 50m,1 stop,No info,9486
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,08:15 25 May,12h 15m,1 stop,In-flight meal not included,8586
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,14:25 02 May,28h 50m,1 stop,In-flight meal not included,9314
