Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,price_range
Air India,1/05/2019,Kolkata,Banglore,CCU ? IXR ? BBI ? BLR,05:50,13:15,7h 25m,2 stops,No info,7662,7500-10000
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,11:25,19:15,7h 50m,1 stop,No info,8625,7500-10000
Air India,1/06/2019,Delhi,Cochin,DEL ? BLR ? COK,09:45,23:00,13h 15m,1 stop,No info,8907,7500-10000
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,09:20 10 May,12h 10m,1 stop,In-flight meal not included,9663,7500-10000
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,08:15 07 May,13h 20m,1 stop,In-flight meal not included,7757,7500-10000
IndiGo,1/06/2019,Delhi,Cochin,DEL ? LKO ? COK,21:50,03:35 02 Jun,5h 45m,1 stop,No info,8238,7500-10000
GoAir,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,12:55,5h 55m,1 stop,No info,7682,7500-10000
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? HYD ? COK,07:05,18:10,11h 5m,1 stop,No info,9646,7500-10000
Air India,15/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,06:45,15:15,8h 30m,1 stop,No info,8714,7500-10000
Multiple carriers,6/05/2019,Delhi,Cochin,DEL ? BOM ? COK,19:00,01:30 07 May,6h 30m,1 stop,No info,8073,7500-10000
Air India,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,09:25,21:50,12h 25m,1 stop,No info,8366,7500-10000
Jet Airways,09/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,05:45,08:15 13 Mar,26h 30m,1 stop,In-flight meal not included,9134,7500-10000
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? HYD ? COK,13:15,22:30,9h 15m,1 stop,No info,9646,7500-10000
Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM ? HYD,07:05,08:30,1h 25m,non-stop,No info,8040,7500-10000
Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,04:45,19:15,14h 30m,1 stop,No info,7574,7500-10000
Vistara,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,09:05 13 May,12h 45m,1 stop,No info,9397,7500-10000
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,10:05 07 May,14h 5m,1 stop,In-flight meal not included,9663,7500-10000
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? HYD ? COK,13:05,00:55 22 May,11h 50m,1 stop,No info,9486,7500-10000
Jet Airways,21/03/2019,Delhi,Cochin,DEL ? BDQ ? BOM ? COK,18:25,18:50 22 Mar,24h 25m,2 stops,In-flight meal not included,9270,7500-10000
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,08:15 25 May,12h 15m,1 stop,In-flight meal not included,8586,7500-10000
IndiGo,03/03/2019,Banglore,New Delhi,BLR ? DEL,18:55,21:45,2h 50m,non-stop,No info,8855,7500-10000
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,14:25 02 May,28h 50m,1 stop,In-flight meal not included,9314,7500-10000
Air India,9/06/2019,Kolkata,Banglore,CCU ? BBI ? BLR,12:00,13:15 10 Jun,25h 15m,1 stop,No info,7662,7500-10000
Air India,18/04/2019,Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,non-stop,No info,8246,7500-10000
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,09:20 07 May,12h 10m,1 stop,In-flight meal not included,9663,7500-10000
Vistara,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,18:50 22 May,25h 50m,1 stop,No info,9345,7500-10000
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,10:05 07 May,20h,1 stop,In-flight meal not included,9663,7500-10000
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,12:00 07 May,16h,1 stop,In-flight meal not included,9663,7500-10000
IndiGo,03/03/2019,Banglore,New Delhi,BLR ? HYD ? DEL,12:10,17:05,4h 55m,1 stop,No info,8738,7500-10000
Jet Airways,27/06/2019,Banglore,Delhi,BLR ? DEL,18:55,22:00,3h 5m,non-stop,No info,8016,7500-10000
Multiple carriers,6/06/2019,Delhi,Cochin,DEL ? HYD ? COK,07:05,16:10,9h 5m,1 stop,No info,9646,7500-10000
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:30,19:15,10h 45m,1 stop,No info,7677,7500-10000
Vistara,9/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,18:50,11h 40m,1 stop,No info,9555,7500-10000
Air India,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:15,10h 15m,1 stop,No info,8372,7500-10000
IndiGo,15/03/2019,Banglore,New Delhi,BLR ? DEL,18:25,21:20,2h 55m,non-stop,No info,8855,7500-10000
Vistara,3/03/2019,Delhi,Cochin,DEL ? COK,06:00,09:10,3h 10m,non-stop,No info,8001,7500-10000
Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,01:35 22 Mar,13h 55m,1 stop,No info,7695,7500-10000
Air India,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:50,07:55 13 Jun,15h 5m,1 stop,No info,8366,7500-10000
Air India,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,19:15,12h 15m,1 stop,No info,9929,7500-10000
SpiceJet,12/06/2019,Kolkata,Banglore,CCU ? IXB ? BLR,15:55,21:25,5h 30m,1 stop,No info,8224,7500-10000
Air India,9/03/2019,Delhi,Cochin,DEL ? BLR ? COK,20:30,08:15 10 Mar,11h 45m,1 stop,No info,8991,7500-10000
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,19:50 13 Jun,24h 55m,1 stop,In-flight meal not included,8529,7500-10000
Air India,21/03/2019,Delhi,Cochin,DEL ? UDR ? BOM ? COK,13:20,19:15 22 Mar,29h 55m,2 stops,No info,8708,7500-10000
Jet Airways,21/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,07:00,19:10,12h 10m,1 stop,In-flight meal not included,7832,7500-10000
Multiple carriers,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:15,11h 45m,1 stop,No info,9001,7500-10000
IndiGo,9/03/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,06:40,21:20,14h 40m,2 stops,No info,8146,7500-10000
Jet Airways,15/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,08:00,15:15,7h 15m,1 stop,In-flight meal not included,9134,7500-10000
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,12:00,5h 30m,1 stop,In-flight meal not included,9899,7500-10000
Jet Airways,27/06/2019,Banglore,Delhi,BLR ? DEL,15:15,18:10,2h 55m,non-stop,No info,8016,7500-10000
Air India,9/06/2019,Kolkata,Banglore,CCU ? BBI ? BLR,09:10,13:15,4h 5m,1 stop,No info,8996,7500-10000
Jet Airways,9/04/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,13:25,12:35 10 Apr,23h 10m,2 stops,No info,9483,7500-10000
Air India,9/04/2019,Delhi,Cochin,DEL ? JDH ? BOM ? COK,12:55,19:15 10 Apr,30h 20m,2 stops,No info,9968,7500-10000
Jet Airways,21/06/2019,Banglore,Delhi,BLR ? DEL,17:45,20:45,3h,non-stop,In-flight meal not included,7754,7500-10000
Jet Airways,9/06/2019,Banglore,Delhi,BLR ? DEL,18:55,22:00,3h 5m,non-stop,No info,8016,7500-10000
Air India,15/05/2019,Delhi,Cochin,DEL ? TRV ? COK,05:15,06:50 16 May,25h 35m,1 stop,No info,8425,7500-10000
Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? HYD ? COK,07:05,22:30,15h 25m,1 stop,No info,9646,7500-10000
Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:00,11h 30m,1 stop,No info,9315,7500-10000
Vistara,1/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:10,22:40,15h 30m,1 stop,No info,8452,7500-10000
Air India,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,19:15,12h 15m,1 stop,No info,8669,7500-10000
GoAir,09/03/2019,Banglore,New Delhi,BLR ? DEL,07:45,10:40,2h 55m,non-stop,No info,7631,7500-10000
Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:45,19:15,10h 30m,1 stop,No info,8266,7500-10000
Vistara,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,22:40 07 May,26h 20m,1 stop,No info,8452,7500-10000
Multiple carriers,3/03/2019,Delhi,Cochin,DEL ? HYD ? COK,07:10,16:10,9h,1 stop,In-flight meal not included,8552,7500-10000
Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,04:40 10 Jun,9h 45m,1 stop,In-flight meal not included,9663,7500-10000
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,04:40 16 May,9h 45m,1 stop,In-flight meal not included,9663,7500-10000
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:15,11h 45m,1 stop,No info,9736,7500-10000
IndiGo,09/03/2019,Banglore,New Delhi,BLR ? DEL,06:00,08:45,2h 45m,non-stop,No info,7648,7500-10000
Air India,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,03:50,19:15,15h 25m,1 stop,No info,8669,7500-10000
Vistara,09/03/2019,Banglore,New Delhi,BLR ? DEL,16:10,18:50,2h 40m,non-stop,No info,7923,7500-10000
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,12:00 13 Jun,16h,1 stop,In-flight meal not included,8529,7500-10000
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,09:20 07 May,19h 15m,1 stop,In-flight meal not included,9663,7500-10000
Vistara,15/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,20:20 16 May,24h,1 stop,No info,8610,7500-10000
Air India,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,19:15,6h 15m,1 stop,No info,8372,7500-10000
Vistara,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:20,18:50 22 May,22h 30m,1 stop,No info,9345,7500-10000
Jet Airways,21/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,08:55,16:10,7h 15m,1 stop,In-flight meal not included,7832,7500-10000
Air India,27/06/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,13:15,09:25 28 Jun,20h 10m,2 stops,No info,8839,7500-10000
Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:30,19:00,10h 30m,1 stop,No info,9627,7500-10000
IndiGo,3/03/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,04:55,21:20,16h 25m,2 stops,No info,8899,7500-10000
Jet Airways,21/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,08:00,15:15,7h 15m,1 stop,In-flight meal not included,7832,7500-10000
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,18:15 10 May,28h 10m,1 stop,In-flight meal not included,7757,7500-10000
Vistara,1/04/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,18:50 02 Apr,25h 50m,1 stop,No info,8610,7500-10000
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,10:05 10 May,27h 35m,1 stop,In-flight meal not included,8586,7500-10000
Multiple carriers,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,01:30 02 Jun,12h 30m,1 stop,No info,7723,7500-10000
Air India,03/03/2019,Banglore,New Delhi,BLR ? DEL,21:10,23:55,2h 45m,non-stop,No info,7591,7500-10000
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,06:00,19:00,13h,1 stop,No info,9794,7500-10000
Jet Airways,15/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,05:45,10:45,5h,1 stop,In-flight meal not included,9134,7500-10000
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,04:40 16 May,8h 40m,1 stop,In-flight meal not included,8586,7500-10000
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,19:15,7h 35m,1 stop,No info,9211,7500-10000
Jet Airways,15/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,08:00,07:40 16 Mar,23h 40m,1 stop,In-flight meal not included,9134,7500-10000
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,12:00 02 May,21h 55m,1 stop,In-flight meal not included,9663,7500-10000
Multiple carriers,1/05/2019,Delhi,Cochin,DEL ? BOM ? COK,19:00,01:30 02 May,6h 30m,1 stop,No info,9424,7500-10000
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,23:35,9h 30m,1 stop,In-flight meal not included,9899,7500-10000
Vistara,18/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,10:45 19 May,17h 45m,1 stop,No info,9187,7500-10000
Air India,27/03/2019,Delhi,Cochin,DEL ? HYD ? BOM ? COK,21:30,19:15 28 Mar,21h 45m,2 stops,No info,8665,7500-10000
Air India,03/03/2019,Banglore,New Delhi,BLR ? DEL,06:10,08:55,2h 45m,non-stop,No info,7591,7500-10000
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,10:05 19 May,12h 55m,1 stop,In-flight meal not included,8586,7500-10000
Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,21:00,14h,1 stop,No info,7888,7500-10000
