Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,price_range
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,12:35 13 Jun,22h 35m,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,14:35,12:35 16 Jun,22h,2 stops,In-flight meal not included,10919,10000-12500
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,12373,10000-12500
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,19:00 19 May,22h 5m,1 stop,In-flight meal not included,12373,10000-12500
Jet Airways,27/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,19:00 28 Jun,19h 55m,2 stops,In-flight meal not included,11150,10000-12500
Jet Airways,1/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,10:55 02 May,25h 20m,1 stop,No info,12121,10000-12500
Air India,21/05/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:55,19:15,13h 20m,2 stops,No info,10861,10000-12500
Multiple carriers,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,19:00,7h 20m,1 stop,In-flight meal not included,10791,10000-12500
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,12:35 16 Jun,19h 5m,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,12:00 10 Jun,14h 50m,1 stop,In-flight meal not included,10844,10000-12500
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:00,10h,1 stop,No info,10197,10000-12500
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:25,14:25 25 May,18h,1 stop,In-flight meal not included,10703,10000-12500
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,04:25 25 Jun,7h 30m,1 stop,In-flight meal not included,10262,10000-12500
Air India,9/05/2019,Delhi,Cochin,DEL ? JDH ? BOM ? COK,12:55,19:15 10 May,30h 20m,2 stops,No info,11596,10000-12500
Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? HYD ? COK,07:05,22:30,15h 25m,1 stop,No info,10348,10000-12500
Air India,21/05/2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,11:10 22 May,23h 10m,2 stops,No info,10676,10000-12500
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:30,04:25 16 Jun,16h 55m,1 stop,In-flight meal not included,10262,10000-12500
Air India,27/06/2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,19:15 28 Jun,21h 15m,2 stops,No info,10441,10000-12500
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,23:35 22 May,27h 35m,1 stop,In-flight meal not included,10844,10000-12500
Air India,9/05/2019,Kolkata,Banglore,CCU ? JAI ? BOM ? BLR,08:20,07:55 10 May,23h 35m,2 stops,No info,10697,10000-12500
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,18:15 13 May,25h 45m,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,04:25 02 Jun,18h 25m,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,6/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,09:45 07 Jun,24h 10m,1 stop,In-flight meal not included,10539,10000-12500
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,04:40 13 Jun,12h 10m,1 stop,No info,12471,10000-12500
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,04:25 25 Jun,19h 25m,1 stop,In-flight meal not included,10262,10000-12500
Multiple carriers,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,06:40,19:00,12h 20m,1 stop,No info,10877,10000-12500
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,14:05,23:35,9h 30m,1 stop,In-flight meal not included,10844,10000-12500
Multiple carriers,9/06/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:00,10h,1 stop,No info,12192,10000-12500
Air India,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,19:15,6h 15m,1 stop,No info,10191,10000-12500
Jet Airways,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,12:00,5h 30m,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,9/06/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,04:25 10 Jun,9h 10m,1 stop,In-flight meal not included,10577,10000-12500
Vistara,27/06/2019,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,non-stop,No info,11982,10000-12500
Air India,1/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:45,19:15 02 Jun,23h 30m,2 stops,No info,10651,10000-12500
Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,19:50 25 May,27h 20m,1 stop,In-flight meal not included,10844,10000-12500
Air India,21/05/2019,Kolkata,Banglore,CCU ? IXR ? DEL ? BLR,05:50,20:25,14h 35m,2 stops,No info,12303,10000-12500
Jet Airways,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,12:00 07 Jun,17h 5m,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,09:00,12:35 25 Jun,27h 35m,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,6/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,18:15 07 Jun,22h 15m,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,6/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,04:25 07 Jun,22h 55m,2 stops,In-flight meal not included,10368,10000-12500
Air India,6/06/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,13:15,09:25 07 Jun,20h 10m,2 stops,No info,10939,10000-12500
Air India,6/06/2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,10:55,07:40 07 Jun,20h 45m,2 stops,No info,11753,10000-12500
Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,19:50 22 May,23h 50m,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,04:25 02 Jun,20h 25m,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,9/06/2019,Delhi,Cochin,DEL ? BOM ? COK,22:50,04:25 10 Jun,5h 35m,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,10:55 10 May,25h 20m,1 stop,No info,10953,10000-12500
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? IDR ? BOM ? COK,21:25,12:35 13 Jun,15h 10m,2 stops,In-flight meal not included,11507,10000-12500
Air India,9/06/2019,Kolkata,Banglore,CCU ? BOM ? COK ? BLR,09:25,13:45 10 Jun,28h 20m,2 stops,No info,11542,10000-12500
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,12:35 25 Jun,22h 35m,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,19:00 02 Jun,23h 45m,1 stop,In-flight meal not included,10262,10000-12500
Air India,6/06/2019,Kolkata,Banglore,CCU ? BOM ? GOI ? BLR,16:50,05:35 07 Jun,12h 45m,2 stops,No info,11432,10000-12500
Air India,15/06/2019,Delhi,Cochin,DEL ? RPR ? NAG ? BOM ? COK,05:15,07:40 16 Jun,26h 25m,3 stops,No info,10493,10000-12500
Air India,21/05/2019,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:55,07:40 22 May,25h 45m,2 stops,No info,11911,10000-12500
Air India,18/05/2019,Delhi,Cochin,DEL ? HYD ? BOM ? COK,17:15,19:15 19 May,26h,2 stops,No info,12392,10000-12500
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,16:20,7h 55m,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,19:45,19:00 19 May,23h 15m,1 stop,In-flight meal not included,12373,10000-12500
Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,20:45,12h 20m,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,9/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,19:00,11h 55m,1 stop,In-flight meal not included,10262,10000-12500
Air India,18/05/2019,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,19:15 19 May,21h 15m,2 stops,No info,10441,10000-12500
Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,19:50 19 May,27h 20m,1 stop,In-flight meal not included,10844,10000-12500
Multiple carriers,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,19:00,9h,1 stop,No info,10197,10000-12500
Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,04:25 19 May,21h 20m,1 stop,In-flight meal not included,12373,10000-12500
Jet Airways,1/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,04:25 02 Jun,22h 55m,2 stops,In-flight meal not included,10368,10000-12500
Air India,1/05/2019,Kolkata,Banglore,CCU ? IXR ? DEL ? BLR,05:50,08:55 02 May,27h 5m,2 stops,No info,10991,10000-12500
Jet Airways,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,18:15,04:25 07 Jun,10h 10m,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,19:10,9h 35m,1 stop,In-flight meal not included,12384,10000-12500
Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,12:35 25 Jun,15h 40m,1 stop,In-flight meal not included,10262,10000-12500
Air India,21/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,07:00,20:25,13h 25m,1 stop,No info,11096,10000-12500
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,21:05,11h 30m,1 stop,In-flight meal not included,10703,10000-12500
Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,19:10,9h 35m,1 stop,In-flight meal not included,10539,10000-12500
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,04:40 10 May,12h 10m,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,1/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,12:35 02 Jun,26h 55m,2 stops,In-flight meal not included,10368,10000-12500
Multiple carriers,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:15,11h 45m,1 stop,No info,10786,10000-12500
Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,18:15,9h 50m,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,9/05/2019,Delhi,Cochin,DEL ? BOM ? COK,02:15,04:25 10 May,26h 10m,1 stop,In-flight meal not included,12373,10000-12500
Jet Airways,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,22:50,19:00 16 Jun,20h 10m,1 stop,In-flight meal not included,10262,10000-12500
Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,22:05,12h 30m,1 stop,In-flight meal not included,10703,10000-12500
Air India,18/05/2019,Kolkata,Banglore,CCU ? BOM ? GOI ? BLR,16:50,05:35 19 May,12h 45m,2 stops,No info,11642,10000-12500
Jet Airways,3/06/2019,Delhi,Cochin,DEL ? BOM ? COK,19:45,04:25 04 Jun,8h 40m,1 stop,In-flight meal not included,10262,10000-12500
Multiple carriers,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:00,11h 30m,1 stop,No info,10877,10000-12500
GoAir,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,14:25,19:35,5h 10m,1 stop,No info,10651,10000-12500
Jet Airways,12/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,12:35 13 Jun,26h 55m,2 stops,In-flight meal not included,10368,10000-12500
Vistara,12/05/2019,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,non-stop,No info,11982,10000-12500
Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,16:20 10 Jun,19h 10m,1 stop,In-flight meal not included,10844,10000-12500
Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,19:50 16 May,22h 40m,1 stop,In-flight meal not included,10844,10000-12500
